23:20:12 (3976 0.0620) [sys.memory.share] (Base::create) success! handle = 468, key = 1000
23:20:12 (3976 0.0620) [sys.memory.share] (Base::create) success! handle = 476, key = 10021
23:20:12 (3976 0.2030) [sys.memory.share] (Base::create) success! handle = 480, key = 10001
23:20:12 (3976 0.2030) [sys.memory.share] (Base::create) success! handle = 484, key = 10002
23:20:12 (3976 0.2180) [sys.memory.share] (Base::create) success! handle = 488, key = 10003
23:21:08 (17032 0.0470) [sys.memory.share] (Base::create) success! handle = 468, key = 1000
23:21:08 (17032 0.0630) [sys.memory.share] (Base::create) success! handle = 476, key = 10021
23:21:08 (17032 0.2030) [sys.memory.share] (Base::create) success! handle = 480, key = 10001
23:21:08 (17032 0.2030) [sys.memory.share] (Base::create) success! handle = 484, key = 10002
23:21:08 (17032 0.2030) [sys.memory.share] (Base::create) success! handle = 488, key = 10003
23:21:57 (18944 0.0470) [sys.memory.share] (Base::create) success! handle = 468, key = 1000
23:21:57 (18944 0.0470) [sys.memory.share] (Base::create) success! handle = 476, key = 10021
23:21:57 (18944 0.1880) [sys.memory.share] (Base::create) success! handle = 480, key = 10001
23:21:57 (18944 0.1880) [sys.memory.share] (Base::create) success! handle = 484, key = 10002
23:21:57 (18944 0.1880) [sys.memory.share] (Base::create) success! handle = 488, key = 10003
23:23:14 (16376 0.0630) [sys.memory.share] (Base::create) success! handle = 468, key = 1000
23:23:14 (16376 0.0630) [sys.memory.share] (Base::create) success! handle = 476, key = 10021
23:23:14 (16376 0.1870) [sys.memory.share] (Base::create) success! handle = 480, key = 10001
23:23:14 (16376 0.1870) [sys.memory.share] (Base::create) success! handle = 484, key = 10002
23:23:14 (16376 0.2030) [sys.memory.share] (Base::create) success! handle = 488, key = 10003
23:23:54 (11048 0.0620) [sys.memory.share] (Base::create) success! handle = 468, key = 1000
23:23:54 (11048 0.0620) [sys.memory.share] (Base::create) success! handle = 476, key = 10021
23:23:54 (11048 0.1870) [sys.memory.share] (Base::create) success! handle = 480, key = 10001
23:23:54 (11048 0.2020) [sys.memory.share] (Base::create) success! handle = 484, key = 10002
23:23:54 (11048 0.2020) [sys.memory.share] (Base::create) success! handle = 488, key = 10003
23:24:51 (17232 0.0470) [sys.memory.share] (Base::create) success! handle = 468, key = 1000
23:24:51 (17232 0.0470) [sys.memory.share] (Base::create) success! handle = 476, key = 10021
23:24:52 (17232 0.1720) [sys.memory.share] (Base::create) success! handle = 480, key = 10001
23:24:52 (17232 0.1870) [sys.memory.share] (Base::create) success! handle = 484, key = 10002
23:24:52 (17232 0.1870) [sys.memory.share] (Base::create) success! handle = 488, key = 10003
23:25:38 (19976 0.0470) [sys.memory.share] (Base::create) success! handle = 468, key = 1000
23:25:38 (19976 0.0470) [sys.memory.share] (Base::create) success! handle = 476, key = 10021
23:25:38 (19976 0.1880) [sys.memory.share] (Base::create) success! handle = 480, key = 10001
23:25:38 (19976 0.1880) [sys.memory.share] (Base::create) success! handle = 484, key = 10002
23:25:38 (19976 0.1880) [sys.memory.share] (Base::create) success! handle = 488, key = 10003
